state,district,total_ipc_crimes,total_sll_crimes,total_crime_burden,violent_crime_total,property_crime_total,arms_act_cases,ndps_narcotics_cases,contraband_enforcement_total,crimes_against_women_total,crimes_against_children_total,crimes_against_sc_total,crimes_against_st_total,sc_st_atrocities_total,juvenile_ipc_crimes_total,cybercrimes_total,missing_persons_total,missing_children_total,violent_crime_ratio,property_crime_ratio,women_vulnerability_share,child_vulnerability_share,caste_atrocity_share,juvenile_delinquency_ratio,cyber_crime_intensity_per_1k,trafficking_vulnerability_proxy
Rajasthan,Jaipur Rural,14372,2808,17180,195,1403,49,322,371,2045,728,630,339,969,128,96,1903,424,0.0136,0.0976,0.1423,0.0507,0.0674,0.0089,6.6797,1.812
Rajasthan,Jaipur South,27280,6398,33678,315,4611,113,903,1016,2302,887,450,204,654,182,313,2976,768,0.0115,0.169,0.0844,0.0325,0.024,0.0067,11.4736,2.6947
Rajasthan,Jaipur West,26886,7340,34226,362,3576,149,1003,1152,2565,1063,570,324,894,286,30,3800,896,0.0135,0.133,0.0954,0.0395,0.0333,0.0106,1.1158,2.3455
Rajasthan,Jaisalmer,4775,1846,6621,112,455,78,311,389,621,158,314,183,497,134,81,406,76,0.0235,0.0953,0.1301,0.0331,0.1041,0.0281,16.9634,1.551
Rajasthan,Jalore,5798,1983,7781,125,405,52,396,448,922,56,271,168,439,35,21,1607,308,0.0216,0.0699,0.159,0.0097,0.0757,0.006,3.6219,308.0
Rajasthan,Jhalawar,14187,11470,25657,377,1105,513,1373,1886,2939,1422,621,289,910,342,56,3220,1024,0.0266,0.0779,0.2072,0.1002,0.0641,0.0241,3.9473,2.107
Rajasthan,Jhunjhunu,13235,4336,17571,280,1253,108,582,690,2242,536,650,129,779,168,100,2679,456,0.0212,0.0947,0.1694,0.0405,0.0589,0.0127,7.5557,2.85
Rajasthan,Jodhpur Crime,44,3,47,0,11,0,0,0,0,0,0,0,0,0,37,0,0,0.0,0.25,0.0,0.0,0.0,0.0,840.9091,0.0
Rajasthan,Jodhpur East,10904,3426,14330,173,792,126,458,584,1405,569,307,89,396,249,123,1791,348,0.0159,0.0726,0.1289,0.0522,0.0363,0.0228,11.2803,1.822
Rajasthan,Jodhpur Rural,7842,2215,10057,211,720,61,554,615,1529,505,415,59,474,133,63,998,248,0.0269,0.0918,0.195,0.0644,0.0604,0.017,8.0337,2.0163
Rajasthan,Jodhpur West,12173,3678,15851,194,1702,190,592,782,1500,856,481,103,584,148,283,2388,408,0.0159,0.1398,0.1232,0.0703,0.048,0.0122,23.2482,1.9615
Rajasthan,Karauli,12112,3824,15936,293,1167,144,476,620,2551,426,445,291,736,0,93,678,72,0.0242,0.0964,0.2106,0.0352,0.0608,0.0,7.6783,0.439
Rajasthan,Kekri,6353,1420,7773,107,579,12,189,201,1132,364,227,102,329,0,10,1113,312,0.0168,0.0911,0.1782,0.0573,0.0518,0.0,1.5741,2.08
Rajasthan,Khairtal-Tijara,5402,2095,7497,106,477,92,231,323,1018,289,288,48,336,33,8,800,212,0.0196,0.0883,0.1884,0.0535,0.0622,0.0061,1.4809,2.2553
Rajasthan,Kota City,16207,8291,24498,398,2088,842,1042,1884,2151,1303,535,145,680,519,286,4154,884,0.0246,0.1288,0.1327,0.0804,0.042,0.032,17.6467,2.2323
Rajasthan,Kota Rural,7125,8591,15716,176,573,495,973,1468,1187,536,384,127,511,0,12,2424,492,0.0247,0.0804,0.1666,0.0752,0.0717,0.0,1.6842,2.7333
Rajasthan,Kotputli-Behror,15335,4090,19425,229,1694,210,473,683,2104,459,654,238,892,51,72,1642,220,0.0149,0.1105,0.1372,0.0299,0.0582,0.0033,4.6951,1.4474
Rajasthan,Nagaur,11384,3437,14821,310,1242,58,698,756,2239,589,824,42,866,130,84,1913,428,0.0272,0.1091,0.1967,0.0517,0.0761,0.0114,7.3788,2.2176
