state,district,missing_male_total_male,missing_male_below_12_years,missing_male_12_years_above_below_16_years,missing_male_16_years_above_below_18_years,missing_male_children,missing_male_18_years_above,missing_female_total_female,missing_female_below_12_years,missing_female_12_years_above_below_16_years,missing_female_16_years_above_below_18_years,missing_female_children,missing_female_18_years_above,missing_trans_gender_total_transgender,missing_transgender_below_12_years,missing_transgender_12_years_above_below_16_years,missing_transgender_16_years_above_below_18_years,missing_transgender_children,missing_transgender_18_years_above,missing_total_grand_total,missing_total_below_12_years,missing_total_12_years_above_below_14_years,missing_total_14_years_above_below_18_years,missing_total_children,missing_total_18_years_above
Arunachal Pradesh,Lohit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,Longding,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,Lower Dibang Valley,9,0,0,0,0,9,23,0,0,11,11,12,0,0,0,0,0,0,32,0,0,11,11,21
Arunachal Pradesh,Papum Pare City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,Papum Pare Rural,8,0,0,0,0,8,14,0,0,5,5,9,0,0,0,0,0,0,22,0,0,5,5,17
Arunachal Pradesh,Siang East,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,Siang Upper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,Siang West,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,Subansiri Lower,4,0,2,0,2,2,22,0,9,4,13,9,0,0,0,0,0,0,26,0,11,4,15,11
Arunachal Pradesh,Subansiri Upper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,Tawang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,Tirap,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,Namsai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,Siang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,Kamle,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Arunachal Pradesh,Kra Dadi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,Lower Siang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,Leparada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,Shiyomi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,Pakkessang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,Bieo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,Barpeta,12,0,0,0,0,12,97,0,4,16,20,77,0,0,0,0,0,0,109,0,4,16,20,89
Assam,Baksa,39,10,6,0,16,23,142,8,9,7,24,118,0,0,0,0,0,0,181,18,15,7,40,141
Assam,Bongaigaon,44,1,3,4,8,36,219,1,5,31,37,182,0,0,0,0,0,0,263,2,8,35,45,218
Assam,Cid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,Cachar,129,4,9,3,16,113,579,7,71,53,131,448,0,0,0,0,0,0,708,11,80,56,147,561
Assam,Chirang,46,12,7,3,22,24,141,1,15,18,34,107,0,0,0,0,0,0,187,13,22,21,56,131
Assam,Darrang,52,2,3,2,7,45,196,5,6,7,18,178,0,0,0,0,0,0,248,7,9,9,25,223
Assam,Dhemaji,69,4,13,3,20,49,153,3,16,19,38,115,0,0,0,0,0,0,222,7,29,22,58,164
Assam,Dhubri,53,9,11,7,27,26,64,11,21,19,51,13,0,0,0,0,0,0,117,20,32,26,78,39
Assam,Dibrugarh,12,3,4,2,9,3,40,4,5,4,13,27,0,0,0,0,0,0,52,7,9,6,22,30
Assam,Grp,46,0,0,0,0,46,6,0,0,0,0,6,0,0,0,0,0,0,52,0,0,0,0,52
Assam,Goalpara,111,5,16,18,39,72,357,4,56,54,114,243,0,0,0,0,0,0,468,9,72,72,153,315
Assam,Golaghat,178,2,30,4,36,142,433,2,24,41,67,366,0,0,0,0,0,0,611,4,54,45,103,508
Assam,Guwahati City,489,7,21,38,66,423,766,4,49,89,142,624,0,0,0,0,0,0,1255,11,70,127,208,1047
Assam,Hailakandi,2,0,0,0,0,2,52,0,0,43,43,9,0,0,0,0,0,0,54,0,0,43,43,11
Assam,Hamren,10,0,4,0,4,6,22,0,1,5,6,16,2,0,2,0,2,0,34,0,7,5,12,22
Assam,Jorhat,82,0,4,4,8,74,168,0,5,34,39,129,0,0,0,0,0,0,250,0,9,38,47,203
Assam,Kamrup,27,0,3,4,7,20,62,1,16,24,41,21,0,0,0,0,0,0,89,1,19,28,48,41
Assam,Karbi Anglong,2,0,1,1,2,0,52,3,35,13,51,1,0,0,0,0,0,0,54,3,36,14,53,1
Assam,Karimganj,87,0,3,8,11,76,249,0,5,13,18,231,0,0,0,0,0,0,336,0,8,21,29,307
Assam,Kokrajhar,11,0,0,5,5,6,61,0,15,42,57,4,0,0,0,0,0,0,72,0,15,47,62,10
Assam,Lakhimpur,11,0,0,0,0,11,17,0,0,0,0,17,0,0,0,0,0,0,28,0,0,0,0,28
Assam,Morigaon,12,1,5,6,12,0,72,2,29,41,72,0,0,0,0,0,0,0,84,3,34,47,84,0
Assam,Dima Hasao,12,0,2,2,4,8,25,1,2,4,7,18,0,0,0,0,0,0,37,1,4,6,11,26
Assam,Nagaon,134,9,14,19,42,92,174,14,62,98,174,0,0,0,0,0,0,0,308,23,76,117,216,92
Assam,Nalbari,105,3,11,3,17,88,311,2,19,34,55,256,0,0,0,0,0,0,416,5,30,37,72,344
Assam,Rpo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,Sou,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,Stf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,Sibsagar,196,8,17,26,51,145,423,9,38,75,122,301,0,0,0,0,0,0,619,17,55,101,173,446
Assam,Sonitpur,3,1,0,1,2,1,115,2,21,80,103,12,0,0,0,0,0,0,118,3,21,81,105,13
Assam,Tinsukia,34,14,13,7,34,0,84,3,39,42,84,0,0,0,0,0,0,0,118,17,52,49,118,0
Assam,Udalguri,73,0,8,11,19,54,128,0,4,29,33,95,0,0,0,0,0,0,201,0,12,40,52,149
Assam,Sadia,23,0,0,0,0,23,35,0,0,0,0,35,0,0,0,0,0,0,58,0,0,0,0,58
Assam,Majuli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,Biswanath,8,2,4,2,8,0,97,5,68,16,89,8,0,0,0,0,0,0,105,7,72,18,97,8
Assam,Hojai,9,0,3,4,7,2,12,0,0,9,9,3,0,0,0,0,0,0,21,0,3,13,16,5
Assam,South Salmara,30,7,1,2,10,20,106,3,16,17,36,70,0,0,0,0,0,0,136,10,17,19,46,90
Assam,Charaideo,65,0,0,0,0,65,293,0,80,90,170,123,0,0,0,0,0,0,358,0,80,90,170,188
Assam,Bajali,60,13,17,3,33,27,30,5,3,6,14,16,0,0,0,0,0,0,90,18,20,9,47,43
Assam,Tamulpur,20,1,1,1,3,17,47,1,1,5,7,40,0,0,0,0,0,0,67,2,2,6,10,57
Bihar,Araria,31,7,4,4,15,16,302,42,80,80,202,100,0,0,0,0,0,0,333,49,84,84,217,116
Bihar,Arwal,26,7,5,5,17,9,90,1,12,41,54,36,0,0,0,0,0,0,116,8,17,46,71,45
Bihar,Aurangabad,60,7,17,18,42,18,101,9,21,23,53,48,0,0,0,0,0,0,161,16,38,41,95,66
Bihar,Bagaha,18,4,9,1,14,4,20,0,3,4,7,13,0,0,0,0,0,0,38,4,12,5,21,17
Bihar,Banka,18,1,3,2,6,12,103,1,19,26,46,57,0,0,0,0,0,0,121,2,22,28,52,69
Bihar,Begusarai,106,15,32,28,75,31,539,56,20,355,431,108,0,0,0,0,0,0,645,71,52,383,506,139
Bihar,Bettiah,55,10,5,13,28,27,302,20,31,158,209,93,0,0,0,0,0,0,357,30,36,171,237,120
Bihar,Kaimur(Bhabhua),45,4,8,13,25,20,290,3,26,154,183,107,0,0,0,0,0,0,335,7,34,167,208,127
